Index,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,SeriousCritical,CasesPerMillion,DeathsPerMillion,TotalTests,TestsPerMillion,Population,CFR,RecoveryRate
182,South Sudan,17823,138.0,17335.0,350.0,1.0,1534.0,12.0,410280.0,35312.614499396695,11618511.0,0.774280424171015,97.26196487684453
183,Tajikistan,17786,125.0,17264.0,397.0,0.0,1786.0,13.0,8680334.603556,871741.5,9957464.0,0.7027999550208028,97.06510738783312
184,Equatorial Guinea,17012,183.0,16690.0,139.0,5.0,11367.0,122.0,365697.0,244341.74182280301,1496662.0,1.0757112626381378,98.10721843404654
185,Tonga,16182,12.0,15638.0,532.0,0.0,150182.0,111.0,535009.0,4965326.824378881,107749.0,0.07415647015202076,96.63824001977505
186,Samoa,15925,29.0,1605.0,14291.0,4.0,78743.0,143.0,187397.0,926611.5833246802,202239.0,0.18210361067503925,10.078492935635792
187,Dominica,15747,74.0,15651.0,22.0,0.0,217668.0,1023.0,228799.0,3162653.433595046,72344.0,0.4699307804661206,99.3903600685845
188,Djibouti,15690,189.0,15427.0,74.0,0.0,15441.0,186.0,305941.0,301094.2852896918,1016097.0,1.2045889101338432,98.32377310388782
189,Marshall Islands,15275,17.0,15166.0,92.0,22.0,254342.0,283.0,52354.179265499995,871741.5,60057.0,0.11129296235679213,99.28641571194763
190,CAR,14913,113.0,14520.0,280.0,2.0,2973.0,23.0,81294.0,16204.747444424378,5016678.0,0.7577281566418561,97.36471534902435
191,Monaco,14608,63.0,14478.0,67.0,4.0,367192.0,1584.0,78646.0,1976874.5444033884,39783.0,0.4312705366922235,99.11007667031764
192,Gambia,12508,372.0,12028.0,108.0,0.0,4889.0,145.0,155686.0,60850.92644779209,2558482.0,2.9740965781899584,96.16245602814199
193,Saint Martin,11978,63.0,1399.0,10516.0,7.0,301485.0,1586.0,112382.0,2828643.3425622955,39730.0,0.5259642678243446,11.679746201369177
194,Greenland,11971,21.0,2761.0,9189.0,4.0,210117.0,369.0,164926.0,2894809.822196479,56973.0,0.1754239411912121,23.06407150613984
195,Yemen,11935,2157.0,9124.0,654.0,23.0,383.0,69.0,329592.0,10579.149639765756,31154867.0,18.072894847088396,76.44742354419773
196,Vanuatu,11930,14.0,11894.0,22.0,0.0,37069.0,44.0,24976.0,77605.70732556116,321832.0,0.1173512154233026,99.69823973176865
197,Caribbean Netherlands,11235,36.0,10476.0,723.0,0.0,421623.0,1351.0,30126.0,1130558.7871054902,26647.0,0.32042723631508674,93.24432576769026
198,Sint Maarten,10863,87.0,10773.0,3.0,10.0,247077.0,1979.0,62056.0,1411454.3055997817,43966.0,0.8008837337752003,99.17149958574979
199,Eritrea,10169,103.0,10063.0,3.0,0.0,2777.0,28.0,23693.0,6469.530703033441,3662244.0,1.01288228931065,98.9576162847871
200,Niger,9931,312.0,8890.0,729.0,1.0,381.0,12.0,254538.0,9758.523152042313,26083660.0,3.141677575269359,89.51767193636088
201,Micronesia,9759,29.0,157.0,9573.0,1.0,83063.0,247.0,21923.0,186596.19198393042,117489.0,0.29716159442565837,1.6087713905113228
202,Antigua and Barbuda,9098,146.0,8923.0,29.0,1.0,91429.0,1467.0,18901.0,189942.61825563517,99509.0,1.6047482963288635,98.0765003297428
203,Guinea-Bissau,8796,175.0,8301.0,320.0,6.0,4263.0,85.0,145231.0,70385.44282233845,2063367.0,1.9895407003183267,94.3724420190996
204,Comoros,8471,161.0,8305.0,5.0,0.0,9335.0,177.0,791034.8001885,871741.5,907419.0,1.900602054066816,98.04037303742179
205,Liberia,7961,294.0,7636.0,31.0,2.0,1501.0,55.0,139824.0,26356.44039518827,5305117.0,3.6930033915337273,95.91759829167191
206,Sierra Leone,7751,126.0,0.0,7625.0,0.0,933.0,15.0,259958.0,31295.97338738299,8306436.0,1.6255966972003613,0.0
207,Chad,7583,193.0,4874.0,2516.0,0.0,435.0,11.0,191341.0,10988.033477320572,17413580.0,2.5451668205195834,64.2753527627588
208,British Virgin Islands,7305,64.0,0.0,7241.0,0.0,238757.0,2092.0,107339.0,3508269.0547784027,30596.0,0.8761122518822724,0.0
209,St. Vincent Grenadines,7112,115.0,6641.0,356.0,0.0,63756.0,1031.0,100856.0,904124.5708241074,111551.0,1.6169853768278966,93.37739032620922
210,Saint Kitts and Nevis,6541,46.0,6482.0,13.0,0.0,121420.0,854.0,124861.0,2317777.6540253568,53871.0,0.7032563828160832,99.0979972481272
211,Cook Islands,6389,1.0,6384.0,4.0,0.0,363610.0,57.0,19690.0,1120596.4373114791,17571.0,0.015651901706057285,99.9217404914697
212,Turks and Caicos,6380,36.0,6321.0,23.0,4.0,160539.0,906.0,550093.0,13841951.636848595,39741.0,0.5642633228840125,99.07523510971787
213,Sao Tome and Principe,6230,77.0,6132.0,21.0,0.0,27363.0,338.0,29036.0,127530.42660939303,227679.0,1.2359550561797752,98.42696629213484
214,Palau,5460,6.0,5444.0,10.0,1.0,299457.0,329.0,64681.0,3547468.875116547,18233.0,0.10989010989010989,99.70695970695971
215,St. Barth,5285,6.0,0.0,5279.0,0.0,531423.0,603.0,78646.0,7908094.519859226,9945.0,0.11352885525070955,0.0
216,Nauru,4611,1.0,4605.0,5.0,0.0,422911.0,92.0,20509.0,1881041.915069247,10903.0,0.02168726957276079,99.86987638256343
217,Anguilla,3865,12.0,3848.0,5.0,4.0,253775.0,788.0,51382.0,3373736.047275115,15230.0,0.31047865459249674,99.5601552393273
218,Kiribati,3430,13.0,2703.0,714.0,3.0,27792.0,105.0,107589.46418849999,871741.5,123419.0,0.37900874635568516,78.80466472303208
219,Saint Pierre Miquelon,3188,1.0,2449.0,738.0,1.0,553568.0,174.0,24902.0,4324014.585865601,5759.0,0.031367628607277286,76.81932245922208
220,Falkland Islands,1886,0.0,1886.0,0.0,0.0,532919.0,0.0,8632.0,2439107.0923989825,3539.0,0.0,100.0
221,Montserrat,1396,8.0,1353.0,35.0,0.0,281168.0,1611.0,17579.0,3540584.088620343,4965.0,0.5730659025787965,96.91977077363897
222,Saint Helena,1355,0.0,2.0,1353.0,0.0,221586.0,0.0,5330.6992725,871741.5,6115.0,0.0,0.14760147601476015
223,Macao,793,6.0,787.0,0.0,0.0,1188.0,9.0,7850.0,11760.475812371722,667490.0,0.7566204287515763,99.24337957124843
224,Wallis and Futuna,761,7.0,438.0,316.0,0.0,69295.0,637.0,20508.0,1867419.4135858677,10982.0,0.9198423127463863,57.55584756898817
226,Niue,80,0.0,80.0,0.0,0.0,49322.0,0.0,1413.9647129999998,871741.5,1622.0,0.0,100.0
227,Vatican City,29,0.0,29.0,0.0,0.0,36295.0,0.0,696.5214585,871741.5,799.0,0.0,100.0
228,Tuvalu,20,0.0,0.0,20.0,0.0,1658.0,0.0,10518.432939,871741.5,12066.0,0.0,0.0
229,Western Sahara,10,1.0,9.0,0.0,0.0,16.0,2.0,545850.5293815,871741.5,626161.0,10.0,90.0
